Spectrum recorded / timer begun 11 06 2021 15:47:12

Timer Mass Analog Digital ScnTm Hght
68.625	169	-0.039393	2	0.50925	15.135
69.188	170	-0.024571	6	0.50925	20.049
69.75	171	-0.036518	2	0.50925	33.551
70.485	172	-0.024307	5	0.50925	36.976
71.219	173	-0.024938	5	0.50925	22.928
71.954	174	-0.041948	1	0.50925	25.162
72.5	175	-0.020147	7	0.50925	20.546
73.063	176	-0.043856	1	0.50925	9.9235
73.61	177	0.064932	31	0.50925	40.351
74.157	178	-0.031806	4	0.50925	24.417
74.719	179	0.019455	16	0.50925	36.926
75.266	180	-0.043993	0	0.50925	7.7395
75.813	181	-0.032955	3	0.50925	41.939
76.375	182	-0.044648	1	0.50925	8.4344
76.922	183	0.012316	15	0.50925	40.698
77.485	184	-0.043466	1	0.50925	13.15
78.032	185	0.91124	234	0.50925	52.313
78.594	186	0.02345	22	0.50925	25.807
79.141	187	0.02	15	0.50925	44.471
79.704	188	-0.030918	3	0.50925	22.68
80.25	189	0.18206	64	0.50925	42.187
80.813	190	-0.032413	3	0.50925	15.781
81.36	191	0.075439	35	0.50925	41.244
81.907	192	-0.034992	2	0.50925	34.444
82.469	193	-0.039672	1	0.50925	17.369
83.204	194	-0.04174	1	0.50925	17.518
83.938	195	-0.024411	5	0.50925	37.571
84.672	196	-0.04198	1	0.50925	19.801
85.219	197	-0.02112	7	0.50925	23.425
85.782	198	-0.03849	1	0.50925	21.737
86.329	199	-0.0082141	10	0.50925	32.062
86.891	200	-0.045246	0	0.50925	1.1378
87.438	86	28.507	1456	0.50925	193.927
87.985	201	0.10635	42	0.50925	34.841
88.547	202	-0.035152	3	0.50925	19.603
89.094	203	0.0027731	15	0.50925	41.691
89.657	204	-0.032837	3	0.50925	23.772
90.204	205	0.10782	42	0.50925	57.376
90.766	206	-0.0044137	13	0.50925	32.012
91.5	207	-0.026304	6	0.50925	31.466
92.25	208	-0.040463	1	0.50925	23.077
92.969	209	-0.039617	1	0.50925	14.44
93.532	210	-0.045143	0	0.50925	1.1378
